5;5;5;5;5;5;5;5;5;5;
40;40;40;40;40;40;40;40;40;40;
55;58;55;54;56;56;56;56;54;55;
57;58;55;55;55;55;54;56;55;57;
90;91;89;88;89;92;87;90;90;89;
114;115;117;119;119;119;115;112;115;118;
113;117;115;115;119;121;117;124;113;110;
134;138;131;143;123;131;124;137;138;125;
97;96;102;99;101;101;97;96;103;99;
170;192;186;179;174;184;176;178;185;171;
183;187;191;183;190;188;196;190;184;183;
22;20;22;21;21;21;20;23;21;22;
23;23;22;22;23;22;22;22;22;22;
22;21;22;22;22;20;22;22;22;22;
